Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T002_001,SE_T003_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T006_001,SE_T006_003,SE_NV005_001,SE_NV005_003,SE_T007_001,SE_T007_002,SE_T008_002,SE_T008_003,SE_T008_004,SE_NV006_002,SE_NV006_003,SE_NV006_004,SE_T014_001,SE_NV009_001,SE_T009_001,SE_NV007_001,SE_T010_002,SE_T010_003,SE_NV008_002,SE_NV008_003,SE_T011_001,SE_T011_002,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T016_006,SE_T016_007,SE_T016_008,SE_T016_009
"42017","Bucks County","Bucks County, Pennsylvania","00","42","017",3.2557117315,3.6307206668,12.354754827,7.7240809583,537,1528,523,85.46315,243.23657,83.2544,3.3146964856,5.9733499896,4565,22952,6966,6387.663655,158,6966,735,30.293385688,297.23713087,39.034804706,161,3.858690442,8.1,"",1434,,228.2,,14.369768279,18.202705804,4.003935187,89.17535254,26.9,18,27.943458693,8.8,10.1,"Yes",14.941224332,13.719827586,1.1262659786,0.6059567908,81.96573823,324560,43.4
"42029","Chester County","Chester County, Pennsylvania","00","42","029",3.5040232563,3.9835714508,13.00806522,6.6743959316,444,1199,345,85.50086,229.67325,66.08613,4.4696771327,7.0005319456,5633,21846,4480,5016.0905964,139,4480,432,29.154885855,243.73660719,27.7340688,161,4.1499123621,8.6,"",1203,,231.7,,14.668339218,22.346075405,6.17089041,85.477243298,22.2,16.8,23.936022049,8.7,10.4,"Yes",14.460154242,12.975759866,1.2532133676,0.910454156,79.040995773,265442,42.8
"42045","Delaware County","Delaware County, Pennsylvania","00","42","045",3.8058490016,4.0071985475,15.294496958,8.8706703971,604,1567,473,106.96021,277.46741,83.75373,3.0049368488,6.5226139341,3859,21882,6831,7659.3675269,250,6831,732,50.149747145,356.15589475,43.240714322,354,7.6395183219,10.1,"",2799,,495.7,,14.917709668,21.011484741,2.4451516062,96.503804257,26.9,19.8,46.636981841,8.2,11.9,"No",17.049751977,15.59434829,1.3309758853,0.7882716959,73.149817657,270095,46.9
"42091","Montgomery County","Montgomery County, Pennsylvania","00","42","091",3.1875189283,3.9256912584,11.759540191,7.392163588,1150,2763,891,139.21254,333.45241,107.53026,2.8797337545,5.3731391507,5434,26608,7892,5364.031264,237,7892,669,33.211929949,265.05581682,27.01497817,278,4.4804022692,8.4,"",2368,,286.7,,13.194677885,23.381126526,3.6514771318,95.468286255,25.5,18.7,29.252905887,8.7,9.2,"Yes",14.761927812,13.465607604,1.1213837391,0.8503154396,78.658525076,423832,44.8
"42101","Philadelphia County","Philadelphia County, Pennsylvania","00","42","101",4.6367877908,4.7824466309,21.655494407,10.697245788,1091,4126,1171,69.01294,260.45711,73.92033,3.9597323193,9.7176857134,13704,95413,23199,10002.873351,1021,23199,2743,73.868495268,475.12573683,57.956340684,1318,8.4539745868,10.6,"",21119,,1335.9,,20.614249405,21.10665997,0.4666318379,99.941350165,27.6,24.1,95.750491649,6.9,11.2,"No",23.432229937,21.606608872,2.5334923918,0.9509178761,50.913225339,671083,53.7
